Attacin	Effector/AMP	Znev_02297
Diptericin	Effector/AMP	Znev_09129
Lysozyme_C-type	Lysozyme	Znev_03738
Lysozyme_C-type	Lysozyme	Znev_17477
Lysozyme_C-type	Lysozyme	Znev_11184
Lysozyme_I-type	Lysozyme	Znev_07418
Lysozyme_I-type	Lysozyme	Znev_01125
Lysozyme_I-type	Lysozyme	Znev_11158
Lysozyme_I-type	Lysozyme	Znev_07419
GNBP	Pattern_Recognition	Znev_03260
GNBP	Pattern_Recognition	Znev_02878
GNBP	Pattern_Recognition	Znev_03257
GNBP	Pattern_Recognition	Znev_03259
GNBP	Pattern_Recognition	Znev_00932
GNBP	Pattern_Recognition	Znev_00933
PGRP	Pattern_Recognition	Znev_07518
PGRP	Pattern_Recognition	Znev_09910
PGRP	Pattern_Recognition	Znev_08618
PGRP	Pattern_Recognition	Znev_09909
PGRP	Pattern_Recognition	Znev_07984
PGRP	Pattern_Recognition	Znev_01249
18wheeler	Toll_receptor	Znev_10053
Toll/Tollo	Toll_receptor	Znev_00888
Toll/Tollo	Toll_receptor	Znev_10041
Toll/Tollo	Toll_receptor	Znev_10044
Toll	Toll_receptor	Znev_13969
Toll_or_LRR	Toll_receptor	Znev_05966
Toll-9	Toll_receptor	Znev_10923
Toll-like_receptor	Toll_receptor	Znev_01370
Tollip_(Toll-interacting_protein)	TOLL_pathway	Znev_07741
ECSIT_(signal_intermediate_in_Toll_pathway)	TOLL_pathway	Znev_07957
Pelle	TOLL_pathway	Znev_09453
Tube	TOLL_pathway	Znev_05846
TRAF	TOLL_pathway	Znev_17913
TRAF	TOLL_pathway	Znev_11985
TRAF	TOLL_pathway	Znev_15253
Spaetzle	TOLL_pathway	Znev_00635
Spaetzle	TOLL_pathway	Znev_04528
Spaetzle-like	TOLL_pathway	Znev_11366
Spaetzle-like	TOLL_pathway	Znev_10323
Spaetzle-like	TOLL_pathway	Znev_10324
DIF/DORSAL	TOLL_pathway	Znev_07478
Easter_(Spaetzle-Processing_enzyme)	TOLL_pathway	Znev_10162
JNK-interacting_SapK	TOLL_pathway__	Znev_15407
Relish_(NF-Kappa-B)	NF-K-B-related	Znev_11193
NF-K-B-related_C-Jun/JNK	NF-K-B-related	Znev_00650
Mpk2	NF-K-B-related	Znev_02213
Cactus	NF-K-B-related	Znev_07020
NF-kappa-B_inhibitor_alpha	NF-K-B-related	Znev_09660
NF-kappa-B_inhibitor-like	NF-K-B-related	Znev_03760
Kappa-B-ras_(NF-kappa-B_inhibitor_alpha-interacting)	NF-K-B-related	Znev_06522
NF-kappa-B-repressing_factor	_NF-K-B-related	Znev_05897
STAT	JAK-STAT_pathway	Znev_16675
Cytokine_receptor	JAK-STAT_pathway	Znev_09344
JAK_pathway_STAM	JAK-STAT_pathway	Znev_00434
JAK/hopscotch	JAK-STAT_pathway	Znev_10639
IKB_(I-Kappa-B)	IMD_pathway	Znev_09963
IMD_(immune_deficiency)	IMD_pathway	Znev_02405
FAS-assocaited_factor_(TNFRSF6)	IMD_pathway	Znev_08114
Optineurin_(NF-K-B_modulator)	IMD_pathway	Znev_04648
MAPKKK_(TAK1)	IMD_pathway	Znev_09904
MAPKKK	IMD_pathway	Znev_12168
MYLIP_(defense_repressor)	IMD_pathway	Znev_02112
NIK_+_IKBKB-BP_(TRAF-like)	IMD_pathway	Znev_04156
prophenoloxidase	PO-related	Znev_05598
Hemocyanin	PO-related	Znev_04925
Hemocyanin	PO-related	Znev_04926
Coagulation_factor_XI	PO-related	Znev_16656
